Event Identifier,Event Name,First Year,Last Year,Primary Genre,Venue Identifier,Venue Name,Suburb,Latitude,Longitude
10,"It's All Gone a Little Mad",2001,2001,Theatre - Spoken Word,8,"Melbourne Cricket Ground",Jolimont,-37.825839,144.986656
100002,"Waiter! There's a Circus in My Soup!",1995,1995,Other,2817,"The Last Laugh",Collingwood,-37.806343,144.982986
100003,"Whitlam - The Musical",1995,1995,Music Theatre,11579,"Athenaeum Theatre Two",Melbourne,-37.815039,144.967359
100004,"Test Tube Twin Set",1995,1995,Theatre - Spoken Word,2727,"Napier Street Theatre",South Melbourne,-37.837058,144.960994
100005,"S.N.A.G.",1995,1995,Theatre - Spoken Word,125,"Melbourne Town Hall",Melbourne,-37.815084,144.966508
100006,"Lower the Laughter",1995,1995,Theatre - Spoken Word,15445,"Geelong Comedy Theatre",Geelong,-38.147102,144.356574
100007,"Sensitive New Age Cowpersons",2005,2005,Theatre - Spoken Word,49,"Continental Cafe",Prahran,-37.849331,144.990953
100008,"Camping Out",1995,1995,Theatre - Spoken Word,82,"Universal Theatre",North Fitzroy,-37.798606,144.975634
100012,"Sean's Tour",1995,1995,Theatre - Spoken Word,98,"Comedy Theatre",Melbourne,-37.810308,144.970033
100014,"Flacco and The Sandman: The Corridor of Uncertainty",1995,1995,Theatre - Spoken Word,700,"National Theatre",St Kilda,-37.866959,144.980955
100015,"Jack Dee",1995,1995,Theatre - Spoken Word,98,"Comedy Theatre",Melbourne,-37.810308,144.970033
100016,"Berger Republic",1995,1995,Theatre - Spoken Word,15446,"Sheraton Hotel",Melbourne,-37.811445,144.973018
100018,"The Mikado",1995,1995,Music Theatre,76,"Her Majesty's Theatre",Melbourne,-37.810916,144.969755
100019,"Crossing the Line",1995,1995,Theatre - Spoken Word,98,"Comedy Theatre",Melbourne,-37.810308,144.970033
100020,"Diplomacy",1890,1890,Theatre - Spoken Word,10666,"Bijou Theatre",Melbourne,-37.8136745,144.9670726
100022,"The Doctor's Dilemma",1914,1914,Theatre - Spoken Word,3085,"Theatre Royal",Melbourne,-37.81305,144.96661
100023,"The Wind in the Willows",1998,1998,Theatre - Spoken Word,20,"Royal Botanic Gardens Melbourne",Melbourne,-37.8288733,144.9783939
100027,"The Wind In The Willows",1999,1999,Theatre - Spoken Word,20,"Royal Botanic Gardens Melbourne",Melbourne,-37.8288733,144.9783939
100029,"Much Ado About Nothing",1999,1999,Theatre - Spoken Word,20,"Royal Botanic Gardens Melbourne",Melbourne,-37.8288733,144.9783939
100033,"The Fairy's Wings",2000,2000,Theatre - Spoken Word,15447,"Black Box",Melbourne,-37.821624,144.968856
100064,"Ridgeway's Pavilion of Varieties and London Circus",1886,1886,Other,15452,"Ridgway's Pavilion of Varieties and London Circus",Melbourne,-37.80690146,144.9655556
100068,"Fefu and Her Friends",1979,1979,Theatre - Spoken Word,15457,"Tennyson Street",Elwood,-37.877387,144.989502
100069,"Fanshen",1979,1979,Theatre - Spoken Word,2738,"Victorian College of Arts, Grant Street Theatre",Southbank,-37.826505,144.966828
100070,"Dee Jay View",1984,1984,Theatre - Spoken Word,15458,"Universal Cinema",Fitzroy,-37.798934,144.977255
100081,"Days of Empire and Sly Grog",1985,1985,Theatre - Spoken Word,15459,"Camberwell City Hall",Camberwell,-37.834763,145.058594
100082,"The Pub Show",1985,1985,Theatre - Spoken Word,670,"Esplanade Hotel",St Kilda,-37.864306,144.972903
100083,"Bomboniere",1991,1991,Theatre - Spoken Word,46,"Theatreworks",St Kilda,-37.863928,144.976507
100084,"Storming St Kilda by Tram",1992,1992,Theatre - Spoken Word,185,"Number 69 St Kilda Tram",St Kilda,-37.86924,144.980503
100085,"Storming Swanston Walk by Tram",1993,1993,Theatre - Spoken Word,185,"Number 69 St Kilda Tram",St Kilda,-37.86924,144.980503
100137,"Bang! Crash! Tap!",2010,2010,Dance,11949,"Warrnambool",Warrnambool,-38.382771,142.48448
100145,"Bang! Crash! Tap!",2010,2010,Dance,15489,"Sacred Heart College",Geelong,-38.149559,144.340056
100146,"Bang! Crash! Tap!",2012,2012,Dance,15490,"Eppalock Primary School",Bendigo,-36.841796,144.38758
100147,"Bang! Crash! Tap!",2012,2012,Dance,15491,"Victory Christian College",Bendigo,-36.783527,144.313153
100148,"Bang! Crash! Tap!",2012,2012,Dance,15492,"Berwick Secondary College",Berwick,-38.031689,145.365459
100246,"Footfalls",1994,1994,Theatre - Spoken Word,2727,"Napier Street Theatre",South Melbourne,-37.837058,144.960994
100247,"See You In Heaven",1994,1994,Theatre - Spoken Word,22,"Carlton Courthouse",Carlton,-37.797696,144.968686
100248,"The Pond: Version II",1994,1994,Theatre - Spoken Word,1,"La Mama",Carlton,-37.798931,144.96771
100249,"Ashes",1994,1994,Theatre - Spoken Word,1,"La Mama",Carlton,-37.798931,144.96771
100250,"Hey Jack!",1994,1994,Theatre - Spoken Word,1,"La Mama",Carlton,-37.798931,144.96771
100251,"The Illuminated Celt",1994,1994,Theatre - Spoken Word,1,"La Mama",Carlton,-37.798931,144.96771
100280,"Barracouta",1993,1993,Theatre - Spoken Word,663,"Geelong Performing Arts Centre",Geelong,-38.147454,144.356491
100281,"Barracouta",1994,1994,Theatre - Spoken Word,15497,"Erskine House",Lorne,-38.544006,143.978967
100311,"The Dollar Princess",1910,1910,Music Theatre,76,"Her Majesty's Theatre",Melbourne,-37.810916,144.969755
